report_date,section,egg_type,environment,avg_price,wtd_avg_price,volume,avg_price_prev,wtd_avg_price_prev,price_unit,volume_unit
2025-08-18,Report Detail Weighted,Liquid Whites,Caged,,100.8,480000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whites,Caged,,100.8,480000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,48000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,48000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whole,Caged,,135.33,576000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Whole,Caged,,135.33,576000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Yolk,Caged,,357.83,288000,,,cents per pound,Pounds
2025-08-18,Report Detail Weighted,Liquid Yolk,Caged,,357.83,288000,,,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Caged,,100.91,528000,,100.8,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Caged,,100.91,528000,,100.8,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Cage-Free,,104.0,48000,,105.0,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whites,Cage-Free,,104.0,48000,,105.0,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Caged,,135.4,240000,,135.33,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Caged,,135.4,240000,,135.33,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Cage-Free,,132.44,384000,,,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Whole,Cage-Free,,132.44,384000,,,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Yolk,Caged,,,,,357.83,cents per pound,Pounds
2025-08-25,Report Detail Weighted,Liquid Yolk,Caged,,,,,357.83,cents per pound,Pounds
2025-09-01,Report Detail Simple,Dried Whole,Caged,12.57,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Dried Whole,Caged,12.57,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Dried Yolk,Caged,13.17,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Dried Yolk,Caged,13.17,,,,,Dollars per Pound,
2025-09-01,Report Detail Simple,Frozen Whites,Caged,124.0,,,,,cents per pound,
2025-09-01,Report Detail Simple,Frozen Whites,Caged,124.0,,,,,cents per pound,
2025-09-01,Report Detail Simple,Frozen Whole,Caged,135.0,,,,,cents per pound,
2025-09-01,Report Detail Simple,Frozen Whole,Caged,135.0,,,,,cents per pound,
2025-09-01,Report Detail Weighted,Liquid Whites,Caged,,,,,100.91,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whites,Caged,,,,,100.91,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,96000,,104.0,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whites,Cage-Free,,105.0,96000,,104.0,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Caged,,,,,135.4,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Caged,,,,,135.4,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Cage-Free,,130.0,48000,,132.44,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Whole,Cage-Free,,130.0,48000,,132.44,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Yolk,Caged,,357.0,48000,,,cents per pound,Pounds
2025-09-01,Report Detail Weighted,Liquid Yolk,Caged,,357.0,48000,,,cents per pound,Pounds
2025-09-08,Report Detail Simple,Dried Whole,Caged,12.82,,,12.57,,Dollars per Pound,
2025-09-08,Report Detail Simple,Dried Whole,Caged,12.82,,,12.57,,Dollars per Pound,
2025-09-08,Report Detail Simple,Dried Yolk,Caged,13.25,,,13.17,,Dollars per Pound,
2025-09-08,Report Detail Simple,Dried Yolk,Caged,13.25,,,13.17,,Dollars per Pound,
2025-09-08,Report Detail Simple,Frozen Sugar Yolk,Caged,365.83,,,,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Sugar Yolk,Caged,365.83,,,,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whites,Caged,133.67,,,124.0,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whites,Caged,133.67,,,124.0,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whole,Caged,174.0,,,135.0,,cents per pound,
2025-09-08,Report Detail Simple,Frozen Whole,Caged,174.0,,,135.0,,cents per pound,
2025-09-08,Report Detail Weighted,Liquid Whites,Cage-Free,,106.0,48000,,105.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Whites,Cage-Free,,106.0,48000,,105.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Whole,Cage-Free,,,,,130.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Whole,Cage-Free,,,,,130.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Yolk,Caged,,357.0,288000,,357.0,cents per pound,Pounds
2025-09-08,Report Detail Weighted,Liquid Yolk,Caged,,357.0,288000,,357.0,cents per pound,Pounds
2025-09-15,Report Detail Simple,Dried Whole,Caged,12.42,,,12.82,,Dollars per Pound,
2025-09-15,Report Detail Simple,Dried Whole,Caged,12.42,,,12.82,,Dollars per Pound,
2025-09-15,Report Detail Simple,Dried Yolk,Caged,12.89,,,13.25,,Dollars per Pound,
2025-09-15,Report Detail Simple,Dried Yolk,Caged,12.89,,,13.25,,Dollars per Pound,
2025-09-15,Report Detail Simple,Frozen Salted Yolk,Caged,362.17,,,,,cents per pound,
2025-09-15,Report Detail Simple,Frozen Salted Yolk,Caged,362.17,,,,,cents per pound,
2025-09-15,Report Detail Simple,Frozen Sugar Yolk,Caged,,,,365.83,,cents per pound,
2025-09-15,Report Detail Simple,Frozen Sugar Yolk,Caged,,,,365.83,,cents per pound,
2025-09-15,Report Detail Simple,Frozen Whites,Caged,127.17,,,133.67,,cents per pound,
2025-09-15,Report Detail Simple,Frozen Whites,Caged,127.17,,,133.67,,cents per pound,
2025-09-15,Report Detail Simple,Frozen Whole,Caged,168.33,,,174.0,,cents per pound,
2025-09-15,Report Detail Simple,Frozen Whole,Caged,168.33,,,174.0,,cents per pound,
2025-09-15,Report Detail Weighted,Liquid Whites,Caged,,91.37,912000,,,cents per pound,Pounds
2025-09-15,Report Detail Weighted,Liquid Whites,Caged,,91.37,912000,,,cents per pound,Pounds
2025-09-15,Report Detail Weighted,Liquid Whites,Cage-Free,,,,,106.0,cents per pound,Pounds
2025-09-15,Report Detail Weighted,Liquid Whites,Cage-Free,,,,,106.0,cents per pound,Pounds
2025-09-15,Report Detail Weighted,Liquid Whole,Caged,,115.5,288000,,,cents per pound,Pounds
2025-09-15,Report Detail Weighted,Liquid Whole,Caged,,115.5,288000,,,cents per pound,Pounds
2025-09-15,Report Detail Weighted,Liquid Yolk,Caged,,,,,357.0,cents per pound,Pounds
2025-09-15,Report Detail Weighted,Liquid Yolk,Caged,,,,,357.0,cents per pound,Pounds
2025-09-22,Report Detail Simple,Dried Whole,Caged,,,,12.42,,Dollars per Pound,
2025-09-22,Report Detail Simple,Dried Whole,Caged,,,,12.42,,Dollars per Pound,
2025-09-22,Report Detail Simple,Dried Yolk,Caged,,,,12.89,,Dollars per Pound,
2025-09-22,Report Detail Simple,Dried Yolk,Caged,,,,12.89,,Dollars per Pound,
2025-09-22,Report Detail Simple,Frozen Salted Yolk,Caged,,,,362.17,,cents per pound,
2025-09-22,Report Detail Simple,Frozen Salted Yolk,Caged,,,,362.17,,cents per pound,
2025-09-22,Report Detail Simple,Frozen Whites,Caged,,,,127.17,,cents per pound,
2025-09-22,Report Detail Simple,Frozen Whites,Caged,,,,127.17,,cents per pound,
2025-09-22,Report Detail Simple,Frozen Whole,Caged,,,,168.33,,cents per pound,
2025-09-22,Report Detail Simple,Frozen Whole,Caged,,,,168.33,,cents per pound,
2025-09-22,Report Detail Weighted,Liquid Whites,Caged,,76.0,96000,,91.37,cents per pound,Pounds
2025-09-22,Report Detail Weighted,Liquid Whites,Caged,,76.0,96000,,91.37,cents per pound,Pounds
2025-09-22,Report Detail Weighted,Liquid Whites,Cage-Free,,90.0,96000,,,cents per pound,Pounds
2025-09-22,Report Detail Weighted,Liquid Whites,Cage-Free,,90.0,96000,,,cents per pound,Pounds
2025-09-22,Report Detail Weighted,Liquid Whole,Caged,,,,,115.5,cents per pound,Pounds
2025-09-22,Report Detail Weighted,Liquid Whole,Caged,,,,,115.5,cents per pound,Pounds
2025-09-22,Report Detail Weighted,Liquid Yolk,Caged,,336.67,144000,,,cents per pound,Pounds
2025-09-22,Report Detail Weighted,Liquid Yolk,Caged,,336.67,144000,,,cents per pound,Pounds
2025-09-29,Report Detail Simple,Dried Whole,Caged,11.29,,,,,Dollars per Pound,
2025-09-29,Report Detail Simple,Dried Whole,Caged,11.29,,,,,Dollars per Pound,
2025-09-29,Report Detail Simple,Dried Yolk,Caged,11.67,,,,,Dollars per Pound,
2025-09-29,Report Detail Simple,Dried Yolk,Caged,11.67,,,,,Dollars per Pound,
2025-09-29,Report Detail Simple,Frozen Salted Yolk,Caged,349.5,,,,,cents per pound,
2025-09-29,Report Detail Simple,Frozen Salted Yolk,Caged,349.5,,,,,cents per pound,
2025-09-29,Report Detail Simple,Frozen Whites,Caged,108.33,,,,,cents per pound,
2025-09-29,Report Detail Simple,Frozen Whites,Caged,108.33,,,,,cents per pound,
2025-09-29,Report Detail Simple,Frozen Whole,Caged,141.5,,,,,cents per pound,
2025-09-29,Report Detail Simple,Frozen Whole,Caged,141.5,,,,,cents per pound,
2025-09-29,Report Detail Weighted,Liquid Whites,Cage-Free,,,,,90.0,cents per pound,Pounds
2025-09-29,Report Detail Weighted,Liquid Whites,Cage-Free,,,,,90.0,cents per pound,Pounds
2025-09-29,Report Detail Weighted,Liquid Whites,Caged,,75.5,192000,,76.0,cents per pound,Pounds
2025-09-29,Report Detail Weighted,Liquid Whites,Caged,,75.5,192000,,76.0,cents per pound,Pounds
2025-09-29,Report Detail Weighted,Liquid Whole,Caged,,94.6,240000,,,cents per pound,Pounds
2025-09-29,Report Detail Weighted,Liquid Whole,Caged,,94.6,240000,,,cents per pound,Pounds
2025-09-29,Report Detail Weighted,Liquid Yolk,Caged,,335.8,240000,,336.67,cents per pound,Pounds
2025-09-29,Report Detail Weighted,Liquid Yolk,Caged,,335.8,240000,,336.67,cents per pound,Pounds
2025-10-06,Report Detail Simple,Dried Whole,Caged,,,,11.29,,Dollars per Pound,
2025-10-06,Report Detail Simple,Dried Whole,Caged,,,,11.29,,Dollars per Pound,
2025-10-06,Report Detail Simple,Dried Yolk,Caged,,,,11.67,,Dollars per Pound,
2025-10-06,Report Detail Simple,Dried Yolk,Caged,,,,11.67,,Dollars per Pound,
2025-10-06,Report Detail Simple,Frozen Salted Yolk,Caged,,,,349.5,,cents per pound,
2025-10-06,Report Detail Simple,Frozen Salted Yolk,Caged,,,,349.5,,cents per pound,
2025-10-06,Report Detail Simple,Frozen Whites,Caged,,,,108.33,,cents per pound,
2025-10-06,Report Detail Simple,Frozen Whites,Caged,,,,108.33,,cents per pound,
2025-10-06,Report Detail Simple,Frozen Whole,Caged,,,,141.5,,cents per pound,
2025-10-06,Report Detail Simple,Frozen Whole,Caged,,,,141.5,,cents per pound,
2025-10-06,Report Detail Weighted,Liquid Whites,Caged,,,,,75.5,cents per pound,Pounds
2025-10-06,Report Detail Weighted,Liquid Whites,Caged,,,,,75.5,cents per pound,Pounds
2025-10-06,Report Detail Weighted,Liquid Whole,Caged,,95.5,192000,,94.6,cents per pound,Pounds
2025-10-06,Report Detail Weighted,Liquid Whole,Caged,,95.5,192000,,94.6,cents per pound,Pounds
2025-10-06,Report Detail Weighted,Liquid Yolk,Caged,,,,,335.8,cents per pound,Pounds
2025-10-06,Report Detail Weighted,Liquid Yolk,Caged,,,,,335.8,cents per pound,Pounds
2025-10-13,Report Detail Simple,Dried Whole,Caged,9.93,,,,,Dollars per Pound,
2025-10-13,Report Detail Simple,Dried Whole,Caged,9.93,,,,,Dollars per Pound,
2025-10-13,Report Detail Simple,Dried Yolk,Caged,10.6,,,,,Dollars per Pound,
2025-10-13,Report Detail Simple,Dried Yolk,Caged,10.6,,,,,Dollars per Pound,
2025-10-13,Report Detail Simple,Frozen Salted Yolk,Caged,356.5,,,,,cents per pound,
2025-10-13,Report Detail Simple,Frozen Salted Yolk,Caged,356.5,,,,,cents per pound,
2025-10-13,Report Detail Simple,Frozen Sugar Yolk,Caged,358.17,,,,,cents per pound,
2025-10-13,Report Detail Simple,Frozen Sugar Yolk,Caged,358.17,,,,,cents per pound,
2025-10-13,Report Detail Simple,Frozen Whites,Caged,110.83,,,,,cents per pound,
2025-10-13,Report Detail Simple,Frozen Whites,Caged,110.83,,,,,cents per pound,
2025-10-13,Report Detail Simple,Frozen Whole,Caged,136.5,,,,,cents per pound,
2025-10-13,Report Detail Simple,Frozen Whole,Caged,136.5,,,,,cents per pound,
2025-10-13,Report Detail Weighted,Liquid Whites,Caged,,79.21,672000,,,cents per pound,Pounds
2025-10-13,Report Detail Weighted,Liquid Whites,Caged,,79.21,672000,,,cents per pound,Pounds
2025-10-13,Report Detail Weighted,Liquid Whites,Cage-Free,,90.0,144000,,,cents per pound,Pounds
2025-10-13,Report Detail Weighted,Liquid Whites,Cage-Free,,90.0,144000,,,cents per pound,Pounds
2025-10-13,Report Detail Weighted,Liquid Whole,Caged,,107.25,192000,,95.5,cents per pound,Pounds
2025-10-13,Report Detail Weighted,Liquid Whole,Caged,,107.25,192000,,95.5,cents per pound,Pounds
2025-10-13,Report Detail Weighted,Liquid Yolk,Caged,,335.0,144000,,,cents per pound,Pounds
2025-10-13,Report Detail Weighted,Liquid Yolk,Caged,,335.0,144000,,,cents per pound,Pounds
2025-10-20,Report Detail Simple,Dried Whole,Caged,,,,9.93,,Dollars per Pound,
2025-10-20,Report Detail Simple,Dried Whole,Caged,,,,9.93,,Dollars per Pound,
2025-10-20,Report Detail Simple,Dried Yolk,Caged,,,,10.6,,Dollars per Pound,
2025-10-20,Report Detail Simple,Dried Yolk,Caged,,,,10.6,,Dollars per Pound,
2025-10-20,Report Detail Simple,Frozen Salted Yolk,Caged,,,,356.5,,cents per pound,
2025-10-20,Report Detail Simple,Frozen Salted Yolk,Caged,,,,356.5,,cents per pound,
2025-10-20,Report Detail Simple,Frozen Sugar Yolk,Caged,,,,358.17,,cents per pound,
2025-10-20,Report Detail Simple,Frozen Sugar Yolk,Caged,,,,358.17,,cents per pound,
2025-10-20,Report Detail Simple,Frozen Whites,Caged,,,,110.83,,cents per pound,
2025-10-20,Report Detail Simple,Frozen Whites,Caged,,,,110.83,,cents per pound,
2025-10-20,Report Detail Simple,Frozen Whole,Caged,,,,136.5,,cents per pound,
2025-10-20,Report Detail Simple,Frozen Whole,Caged,,,,136.5,,cents per pound,
2025-10-20,Report Detail Weighted,Liquid Whites,Caged,,,,,79.21,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Whites,Caged,,,,,79.21,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Whites,Cage-Free,,104.25,192000,,90.0,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Whites,Cage-Free,,104.25,192000,,90.0,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Whole,Caged,,111.0,48000,,107.25,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Whole,Caged,,111.0,48000,,107.25,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Whole,Cage-Free,,108.56,864000,,,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Whole,Cage-Free,,108.56,864000,,,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Yolk,Caged,,,,,335.0,cents per pound,Pounds
2025-10-20,Report Detail Weighted,Liquid Yolk,Caged,,,,,335.0,cents per pound,Pounds
2025-10-27,Report Detail Simple,Dried Whole,Caged,10.0,,,,,Dollars per Pound,
2025-10-27,Report Detail Simple,Dried Whole,Caged,10.0,,,,,Dollars per Pound,
2025-10-27,Report Detail Simple,Dried Yolk,Caged,10.75,,,,,Dollars per Pound,
2025-10-27,Report Detail Simple,Dried Yolk,Caged,10.75,,,,,Dollars per Pound,
2025-10-27,Report Detail Simple,Frozen Salted Yolk,Caged,356.17,,,,,cents per pound,
2025-10-27,Report Detail Simple,Frozen Salted Yolk,Caged,356.17,,,,,cents per pound,
2025-10-27,Report Detail Simple,Frozen Whites,Caged,124.0,,,,,cents per pound,
2025-10-27,Report Detail Simple,Frozen Whites,Caged,124.0,,,,,cents per pound,
2025-10-27,Report Detail Simple,Frozen Whole,Caged,155.17,,,,,cents per pound,
2025-10-27,Report Detail Simple,Frozen Whole,Caged,155.17,,,,,cents per pound,
2025-10-27,Report Detail Weighted,Liquid Whites,Caged,,93.0,48000,,,cents per pound,Pounds
2025-10-27,Report Detail Weighted,Liquid Whites,Caged,,93.0,48000,,,cents per pound,Pounds
2025-10-27,Report Detail Weighted,Liquid Whites,Cage-Free,,113.0,288000,,104.25,cents per pound,Pounds
2025-10-27,Report Detail Weighted,Liquid Whites,Cage-Free,,113.0,288000,,104.25,cents per pound,Pounds
2025-10-27,Report Detail Weighted,Liquid Whole,Cage-Free,,110.75,96000,,108.56,cents per pound,Pounds
2025-10-27,Report Detail Weighted,Liquid Whole,Cage-Free,,110.75,96000,,108.56,cents per pound,Pounds
2025-10-27,Report Detail Weighted,Liquid Whole,Caged,,113.1,480000,,111.0,cents per pound,Pounds
2025-10-27,Report Detail Weighted,Liquid Whole,Caged,,113.1,480000,,111.0,cents per pound,Pounds
2025-11-03,Report Detail Simple,Dried Whole,Caged,10.0,,,10.0,,Dollars per Pound,
2025-11-03,Report Detail Simple,Dried Whole,Caged,10.0,,,10.0,,Dollars per Pound,
2025-11-03,Report Detail Simple,Dried Yolk,Caged,10.75,,,10.75,,Dollars per Pound,
2025-11-03,Report Detail Simple,Dried Yolk,Caged,10.75,,,10.75,,Dollars per Pound,
2025-11-03,Report Detail Simple,Frozen Salted Yolk,Caged,358.17,,,356.17,,cents per pound,
2025-11-03,Report Detail Simple,Frozen Salted Yolk,Caged,358.17,,,356.17,,cents per pound,
2025-11-03,Report Detail Simple,Frozen Sugar Yolk,Caged,359.83,,,,,cents per pound,
2025-11-03,Report Detail Simple,Frozen Sugar Yolk,Caged,359.83,,,,,cents per pound,
2025-11-03,Report Detail Simple,Frozen Whites,Caged,125.33,,,124.0,,cents per pound,
2025-11-03,Report Detail Simple,Frozen Whites,Caged,125.33,,,124.0,,cents per pound,
2025-11-03,Report Detail Simple,Frozen Whole,Caged,155.83,,,155.17,,cents per pound,
2025-11-03,Report Detail Simple,Frozen Whole,Caged,155.83,,,155.17,,cents per pound,
2025-11-03,Report Detail Weighted,Liquid Whites,Caged,,,,,93.0,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Whites,Caged,,,,,93.0,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Whites,Cage-Free,,104.75,192000,,113.0,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Whites,Cage-Free,,104.75,192000,,113.0,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Whole,Caged,,,,,113.1,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Whole,Caged,,,,,113.1,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Whole,Cage-Free,,,,,110.75,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Whole,Cage-Free,,,,,110.75,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Yolk,Caged,,334.6,240000,,,cents per pound,Pounds
2025-11-03,Report Detail Weighted,Liquid Yolk,Caged,,334.6,240000,,,cents per pound,Pounds
2025-11-10,Report Detail Simple,Dried Whole,Caged,,,,10.0,,Dollars per Pound,
2025-11-10,Report Detail Simple,Dried Whole,Caged,,,,10.0,,Dollars per Pound,
2025-11-10,Report Detail Simple,Dried Yolk,Caged,,,,10.75,,Dollars per Pound,
2025-11-10,Report Detail Simple,Dried Yolk,Caged,,,,10.75,,Dollars per Pound,
2025-11-10,Report Detail Simple,Frozen Salted Yolk,Caged,,,,358.17,,cents per pound,
2025-11-10,Report Detail Simple,Frozen Salted Yolk,Caged,,,,358.17,,cents per pound,
2025-11-10,Report Detail Simple,Frozen Sugar Yolk,Caged,,,,359.83,,cents per pound,
2025-11-10,Report Detail Simple,Frozen Sugar Yolk,Caged,,,,359.83,,cents per pound,
2025-11-10,Report Detail Simple,Frozen Whites,Caged,,,,125.33,,cents per pound,
2025-11-10,Report Detail Simple,Frozen Whites,Caged,,,,125.33,,cents per pound,
2025-11-10,Report Detail Simple,Frozen Whole,Caged,,,,155.83,,cents per pound,
2025-11-10,Report Detail Simple,Frozen Whole,Caged,,,,155.83,,cents per pound,
2025-11-10,Report Detail Weighted,Liquid Whites,Cage-Free,,106.0,192000,,104.75,cents per pound,Pounds
